vinho_id,rotulo,ano_producao,uva_id,pais_producao_id
110,chartreuse-rosé,1950,19,1
111,latent-claret,1912,64,2
112,freezing-prosecco,1920,7,3
113,adiabatic-sauvignon,1994,15,3
114,plumb-shiraz,2002,13,1
115,ternary-port,1976,14,2
116,open-port,1968,65,1
117,coplanar-chablis,1974,31,1
118,indigo-bardolino,1920,62,1
119,arid-muscat,1998,50,2
120,violent-muscat,1978,24,3
121,equilateral-pinot,1974,57,2
122,beige-bardolino,1920,62,0
123,bronze-merlot,1988,61,2
124,simple-bardolino,1930,21,2
125,radiant-chablis,1974,57,2
126,hoary-sauvignon,1974,57,2
127,concrete-beaujolais,1952,48,3
128,right-cabernet,2014,51,0
129,curious-pinot,2020,41,3
130,radioactive-banylus,2008,69,3
131,product-sherry,1976,14,2
132,lime-auslese,1988,53,1
133,tense-sauvignon,1944,59,1
134,faint-barbaresco,1920,7,3
135,kinetic-burgundy,1958,52,3
136,coplanar-prosecco,1944,59,2
137,adaptive-champagne,1920,4,3
138,collinear-auslese,1966,67,2
139,adagio-mead,1916,5,1
140,each-mead,2016,46,1
141,brave-pinot,1928,54,0
142,ferocious-muscat,1958,39,1
143,nippy-sherry,2014,51,3
144,chilly-prosecco,1994,15,1
145,pallid-chablis,1916,12,2
146,happy-champagne,1996,29,1
147,bone-zinfandel,1988,18,0
148,nondeterministic-auslese,1980,16,1
149,messy-auslese,1920,62,2
150,auburn-zinfandel,1988,18,2
151,absolute-rosé,1974,57,3
152,isomorphic-burgundy,1928,54,1
153,blue-rosé,1988,61,2
154,cream-cabernet,1996,22,0
155,champagne-banylus,2014,8,3
156,light-chianti,1996,11,0
157,concentric-barolo,1978,0,1
158,sparse-chianti,1974,57,1
159,tractable-arneis,1978,0,1
160,spicy-barbaresco,1992,33,3
161,parallel-zinfandel,1916,47,2
162,recursive-riesling,1978,0,3
163,neat-chinon,1994,15,0
164,stale-lambrusco,1964,60,3
165,magnetic-chinon,1936,63,0
166,acute-beaujolais,1920,62,3
167,great-grappa,1968,68,2
168,oily-lambrusco,1930,21,0
169,chocolate-albariño,1958,66,1
170,paper-shiraz,1972,25,1
171,maroon-banylus,1994,15,3
172,median-champagne,1998,50,1
173,descent-chinon,1910,56,0
174,plumb-malbec,2010,28,1
175,champagne-chianti,1968,68,2
176,rounded-dolcetto,2016,46,2
177,sleek-noir,1988,61,3
178,null-grappa,1968,68,0
179,gritty-riesling,1994,15,2
180,one-sherry,1916,47,2
181,honest-bardolino,1916,38,0
182,rigid-chinon,1934,32,1
183,teal-bardolino,1996,22,1
184,parallel-blanc,1924,9,3
185,cautious-dolcetto,1968,68,1
186,chalky-champagne,1992,33,0
187,stern-champagne,2014,51,2
188,burning-chinon,1924,9,1
189,decidable-prosecco,1988,18,3
190,relative-auslese,1974,57,1
191,green-muscat,1978,0,0
192,creative-arneis,1968,68,3
193,either-madeira,1956,3,1
194,laminated-chinon,1994,15,3
195,wan-noir,1950,23,0
196,orthogonal-muscat,1948,1,2
197,ragged-albariño,1974,31,0
198,silver-banylus,1950,23,0
199,freezing-blanc,1996,11,0
200,objective-arneis,1948,49,0
201,rounded-zinfandel,1958,34,2
202,oscillating-blanc,1934,32,2
203,district-beaujolais,1934,32,3
204,rapid-grappa,1964,60,1
205,flat-arneis,1998,50,2
206,bent-champagne,1998,42,2
207,sunny-chianti,1996,11,1
208,dark-bardolino,1958,66,2
209,violent-sherry,1912,64,0
210,coplanar-blanc,1934,32,0
211,kinetic-burgundy,1958,39,1
212,presto-moscato,1920,73,3
213,roaring-cabernet,1998,42,3
214,rude-moscato,1958,43,1
215,freezing-chianti,2010,28,1
216,brutal-burgundy,1916,12,0
217,red-mead,1996,11,3
218,poky-port,1912,45,2
219,coherent-chablis,1948,1,0
220,silver-malbec,1958,34,1
221,intense-chardonnay,1920,7,3
222,critical-amarone,1972,25,2
223,breezy-chablis,1920,73,2
224,central-madeira,1992,33,0
225,curious-banylus,1968,6,3
226,curious-malbec,1966,67,3
227,kind-rosé,1974,57,1
228,coincident-sauvignon,1960,74,3
229,respectful-amarone,2010,28,3
230,teal-chinon,1942,35,0
231,staccato-zinfandel,1964,20,3
232,brave-arneis,1942,35,2
233,rust-muscat,1924,9,0
234,stubborn-lambrusco,2016,72,0
235,internal-rosé,1950,23,1
236,teal-mead,1936,63,3
237,ternary-chablis,1952,48,1
238,resultant-arneis,1942,35,2
239,internal-albariño,1950,23,0
240,fixed-sauvignon,1996,22,0
241,burning-chablis,1988,61,0
242,fat-muscat,1928,36,2
243,charcoal-madeira,1996,11,2
244,zesty-lambrusco,1928,54,1
245,cold-barolo,1916,12,1
246,humane-rosé,1996,22,1
247,lenient-moscato,1996,29,3
248,quick-merlot,1980,16,0
249,nippy-dolcetto,1988,61,0
250,partial-beaujolais,1916,12,1
251,juvenile-moscato,1994,58,0
252,cool-mead,1988,18,1
253,nice-cabernet,1952,48,3
254,plain-shiraz,1996,11,3
255,humble-merlot,1964,60,2
256,optimal-albariño,1988,18,3
257,indulgent-dolcetto,2014,8,1
258,young-muscat,1984,70,3
259,unary-lambrusco,1968,27,2
260,wood-noir,2014,51,0
261,principal-champagne,1994,15,1
262,exact-port,1968,68,0
263,grandioso-barbaresco,1996,11,2
264,energetic-rosé,1978,24,2
265,cold-madeira,2014,51,2
266,heather-chianti,1958,52,0
267,hot-grappa,1996,22,0
268,direct-chablis,1994,15,0
269,faded-amarone,1910,56,0
270,swift-chianti,1916,38,2
271,taxonomic-banylus,1958,52,2
272,metal-moscato,2020,41,1
273,crabby-shiraz,1974,57,1
274,new-mead,1916,38,0
275,bounded-merlot,2002,13,3
276,optical-blanc,1920,4,3
277,weary-albariño,1958,34,2
278,purple-muscat,1960,74,2
279,buoyant-cabernet,2006,17,2
280,molten-riesling,2014,8,1
281,wicker-auslese,1920,73,1
282,planar-chianti,1974,57,2
283,chamfered-pinot,1980,16,2
284,radial-pinot,1968,6,2
285,dry-riesling,1912,45,3
286,proper-lambrusco,1916,12,1
287,product-rosé,1958,39,3
288,chief-sherry,2020,41,3
289,staff-burgundy,2014,8,2
290,taxonomic-noir,1948,49,2
291,affable-chianti,1958,26,0
292,happy-claret,1968,65,0
293,formal-prosecco,1920,4,3
294,calm-chianti,2010,28,1
295,clever-noir,1928,36,2
296,coffee-dolcetto,1934,37,2
297,isochoric-claret,1920,7,3
298,sensitive-lambrusco,1912,64,0
299,naive-barbaresco,1980,16,1
300,blazing-blanc,1984,70,0
301,fundamental-mead,1948,44,0
302,hot-blanc,1956,3,0
303,adiabatic-banylus,1942,35,0
304,interior-moscato,2008,69,2
305,religious-sauvignon,1996,30,2
306,wooden-moscato,1988,18,0
307,brown-champagne,1964,60,1
308,perpendicular-mead,1988,53,3
309,unsolvable-amarone,1916,38,1
310,terminal-mead,1920,73,1
311,absolute-albariño,1988,18,1
312,vain-grappa,1916,38,0
313,miniature-moscato,1958,66,2
314,minimum-sauvignon,1948,44,1
315,simple-chardonnay,1916,12,0
316,average-chardonnay,1974,57,1
317,charitable-muscat,1950,19,1
318,asymptotic-amarone,2018,71,0
319,medium-madeira,1964,60,2
320,foggy-merlot,1916,38,2
321,allegro-pinot,1978,0,3
322,isometric-sauvignon,1970,2,0
323,silent-merlot,1988,61,3
324,complicated-shiraz,1920,62,3
325,cloudy-amarone,1978,24,3
326,denim-muscat,1970,55,2
327,soluble-pinot,1934,32,0
328,ancient-auslese,1934,37,3
329,ambitious-mead,1916,5,0
330,quiet-champagne,1974,57,0
331,leather-lambrusco,1958,43,2
332,shrewd-mead,1948,44,3
333,cruel-moscato,1974,31,3
334,resolving-barbaresco,1948,44,0
335,figurative-amarone,1964,60,1
336,mode-auslese,2016,46,2
337,trusting-chardonnay,1964,20,2
338,shy-banylus,1960,74,2
339,tense-arneis,1942,35,2
340,express-chianti,1988,18,3
341,ragged-amarone,1950,19,3
342,tangy-blanc,1910,56,1
343,magnetic-beaujolais,2006,17,2
344,regular-barolo,2016,46,2
345,rectilinear-champagne,1952,48,0
346,wood-chinon,2002,13,3
347,round-burgundy,1976,14,2
348,chewy-barolo,1996,30,1
349,worn-grappa,1978,0,1
350,red-zinfandel,1988,53,3
351,rowdy-grappa,1970,2,1
352,terminal-mead,1994,15,1
353,adjacent-chablis,1910,56,3
354,coal-zinfandel,1960,74,2
355,freezing-chianti,1996,11,2
356,navy-grappa,1920,73,1
357,windy-barolo,1994,15,1
358,reduced-arneis,2018,71,2
359,tense-sauvignon,1950,23,3
360,customer-marsanne,1968,27,1
361,champagne-rosé,1920,7,0
362,scared-madeira,1942,35,3
363,blaring-moscato,1920,7,1
364,best-bardolino,1974,57,1
365,future-marsanne,1944,59,0
366,glad-pinot,1948,49,0
367,muted-muscat,1968,27,2
368,pizzicato-riesling,1928,40,3
369,sunny-claret,1936,63,3
370,plain-sauvignon,1958,26,2
371,ascent-pinot,1920,62,3
372,internal-zinfandel,1980,16,3
373,brute-lambrusco,2016,72,3
374,primary-barbaresco,1934,32,3
375,curious-noir,2010,28,3
376,optical-pinot,1916,12,0
377,sparse-mead,1912,45,3
378,serious-amarone,1958,34,0
379,bounded-lambrusco,1916,5,3
380,ancient-prosecco,1968,68,2
381,achromatic-malbec,2016,46,1
382,adventurous-madeira,1978,24,0
383,daring-claret,1968,65,3
384,persistent-albariño,1924,9,2
385,factorial-chablis,1970,55,1
386,ebony-chianti,1996,29,0
387,coplanar-prosecco,1920,4,1
388,perfect-chianti,1934,32,2
389,freezing-port,1912,64,0
390,rosy-prosecco,2006,17,1
391,chalky-amarone,1952,48,3
392,heather-dolcetto,1920,10,0
393,closed-merlot,1972,25,1
394,frigid-chianti,1920,62,2
395,inventive-zinfandel,1994,58,2
396,round-port,1958,26,0
397,parallel-riesling,1952,48,1
398,strong-muscat,1934,32,0
399,oriented-madeira,1978,0,0
400,vain-pinot,1964,20,1
401,careful-grappa,1928,54,1
402,relative-chardonnay,1916,5,3
403,beveled-chablis,1968,68,1
404,neat-barolo,1920,4,2
405,maximum-cabernet,1970,2,0
406,juvenile-champagne,1958,52,0
407,ascent-claret,1996,22,2
408,basic-riesling,1958,52,1
409,fancy-dolcetto,1928,36,2
410,maroon-chablis,1920,73,2
411,happy-chardonnay,1920,73,3
412,broad-cabernet,1980,16,2
413,impulsive-albariño,2016,72,0
414,lower-beaujolais,1978,0,2
415,cheerful-arneis,1998,50,0
416,beige-sherry,1948,44,0
417,gentle-beaujolais,1956,3,0
418,icy-prosecco,1988,61,1
419,olive-albariño,1912,64,3
420,swarm-dolcetto,1974,31,0
421,diachronic-port,1992,33,0
422,national-madeira,2018,71,1
423,archaic-auslese,1916,38,0
424,resolving-port,1972,25,2
425,steel-banylus,1992,33,2
426,collinear-prosecco,1988,53,3
427,citron-shiraz,1970,2,0
428,crabby-auslese,1948,49,1
429,matte-blanc,1996,11,2
430,randomized-grappa,1912,64,1
431,ebony-chianti,1988,53,1
432,white-sherry,1920,4,2
433,linear-chardonnay,1910,56,1
434,free-mead,1980,16,2
435,gilded-noir,2016,46,1
436,heartless-zinfandel,1996,22,2
437,direct-grappa,2002,13,0
438,simple-auslese,1968,65,3
439,dry-bardolino,1960,74,2
440,trite-champagne,1998,50,2
441,bold-barbaresco,1934,37,3
442,shiny-chianti,1936,63,2
443,libretto-sherry,1934,37,2
444,claret-burgundy,1948,49,1
445,each-moscato,1996,29,3
446,gilded-port,1998,50,0
447,genteel-arneis,1920,62,2
448,gravitational-dolcetto,2014,51,3
449,elegant-pinot,1934,37,1
450,chartreuse-chardonnay,1996,29,0
451,bold-zinfandel,1998,50,3
452,chilly-chablis,1920,4,0
453,central-barolo,2010,28,0
454,nullary-chardonnay,1956,3,0
455,scared-blanc,1924,9,2
456,bright-blanc,1970,55,2
457,chestnut-auslese,1980,16,1
458,allegro-grappa,1920,73,1
459,easy-shiraz,1980,16,3
460,friendly-noir,1968,68,1
461,flush-pinot,1992,33,0
462,cold-grappa,1916,5,0
463,sizzling-merlot,1958,52,2
464,cautious-rosé,1968,65,0
465,mode-prosecco,1998,42,3
466,investor-barbaresco,1960,74,0
467,hard-arneis,1996,22,0
468,forward-lambrusco,1928,54,3
469,bitter-chinon,1960,74,1
470,rowdy-barbaresco,1994,15,1
471,exothermic-shiraz,1920,7,3
472,weighted-amarone,1956,3,2
473,hot-claret,1956,3,0
474,ternary-arneis,1970,55,3
475,molto-port,1978,24,0
476,finite-noir,1958,66,2
477,cruel-cabernet,1958,66,0
478,unsorted-muscat,1958,26,3
479,glad-prosecco,1974,31,0
480,gray-port,1948,49,1
481,timid-moscato,1964,60,2
482,savage-lambrusco,1998,50,2
483,frosty-bardolino,1988,18,2
484,vivid-madeira,1964,20,3
485,fixed-prosecco,1920,4,2
486,friendly-merlot,2020,41,1
487,oriented-arneis,1964,60,3
488,leather-barbaresco,1930,21,1
489,mild-chinon,1964,20,0
490,polite-barolo,2008,69,0
491,concentric-rosé,1978,0,0
492,another-sauvignon,1920,4,0
493,stone-moscato,1996,11,1
494,beige-chablis,1912,45,3
495,feasible-marsanne,1992,33,3
496,tart-prosecco,1952,48,2
497,angry-noir,1948,44,1
498,avocado-champagne,1958,26,0
499,brutal-sherry,2016,72,1
